,customer_id,customer_city,customer_state
0,06b8999e2fba1a1fbc88172c00ba8bc7,franca,SP
1,18955e83d337fd6b2def6b18a428ac77,sao bernardo do campo,SP
2,4e7b3e00288586ebd08712fdd0374a03,sao paulo,SP
3,b2b6027bc5c5109e529d4dc6358b12c3,mogi das cruzes,SP
4,4f2d8ab171c80ec8364f7c12e35b23ad,campinas,SP
5,879864dab9bc3047522c92c82e1212b8,jaragua do sul,SC
6,fd826e7cf63160e536e0908c76c3f441,sao paulo,SP
7,5e274e7a0c3809e14aba7ad5aae0d407,timoteo,MG
8,5adf08e34b2e993982a47070956c5c65,curitiba,PR
9,4b7139f34592b3a31687243a302fa75b,belo horizonte,MG
