,customer_id,customer_city,customer_state
0,154c4ded6991bdfa3cd249d11abf4130,florianopolis,SC
1,2173c184771a8a19f6fc87d8b3dea9e0,florianopolis,SC
2,02f615f19af07c54a0d4653308f6674b,florianopolis,SC
3,151260cb5d9b3c220d0af50c81c329a9,florianopolis,SC
4,d494b02fb3835e2d398d44ea7f275bce,florianopolis,SC
5,7f4f07b97783e894fccff9d72e0988b3,florianopolis,SC
6,a2c403073285474c9bb42414f75badde,florianopolis,SC
7,a1cd7aead5b4948681cfcf303b3b5845,florianopolis,SC
8,4f9aedfef4f40b043edf00b2556cb1ee,florianopolis,SC
9,c18b64a465c9f5309872862fe7e84ca6,florianopolis,SC
