,order_id,customer_state,customer_city,order_status,product_category_name,price,geolocation_city,geolocation_state,order_approved_at
0,e481f51cbdc54678b7cc49136f2d6af7,SP,sao paulo,delivered,utilidades_domesticas,29.99,sao paulo,SP,2017-10-02 11:07:15
1,e481f51cbdc54678b7cc49136f2d6af7,SP,sao paulo,delivered,utilidades_domesticas,29.99,sao paulo,SP,2017-10-02 11:07:15
2,e481f51cbdc54678b7cc49136f2d6af7,SP,sao paulo,delivered,utilidades_domesticas,29.99,sao paulo,SP,2017-10-02 11:07:15
3,e481f51cbdc54678b7cc49136f2d6af7,SP,sao paulo,delivered,utilidades_domesticas,29.99,sao paulo,SP,2017-10-02 11:07:15
4,e481f51cbdc54678b7cc49136f2d6af7,SP,sao paulo,delivered,utilidades_domesticas,29.99,sao paulo,SP,2017-10-02 11:07:15
5,e481f51cbdc54678b7cc49136f2d6af7,SP,sao paulo,delivered,utilidades_domesticas,29.99,sao paulo,SP,2017-10-02 11:07:15
6,e481f51cbdc54678b7cc49136f2d6af7,SP,sao paulo,delivered,utilidades_domesticas,29.99,sao paulo,SP,2017-10-02 11:07:15
7,e481f51cbdc54678b7cc49136f2d6af7,SP,sao paulo,delivered,utilidades_domesticas,29.99,sao paulo,SP,2017-10-02 11:07:15
8,e481f51cbdc54678b7cc49136f2d6af7,SP,sao paulo,delivered,utilidades_domesticas,29.99,sao paulo,SP,2017-10-02 11:07:15
9,e481f51cbdc54678b7cc49136f2d6af7,SP,sao paulo,delivered,utilidades_domesticas,29.99,sao paulo,SP,2017-10-02 11:07:15
10,e481f51cbdc54678b7cc49136f2d6af7,SP,sao paulo,delivered,utilidades_domesticas,29.99,sao paulo,SP,2017-10-02 11:07:15
11,e481f51cbdc54678b7cc49136f2d6af7,SP,sao paulo,delivered,utilidades_domesticas,29.99,sao paulo,SP,2017-10-02 11:07:15
12,e481f51cbdc54678b7cc49136f2d6af7,SP,sao paulo,delivered,utilidades_domesticas,29.99,sao paulo,SP,2017-10-02 11:07:15
