,order_id,customer_state,customer_city,order_status,product_category_name,price,geolocation_city,geolocation_state,order_approved_at,payment_type
0,0573b5e23cbd798006520e1d5b4c6714,SP,lucelia,delivered,artes,36.85,lucelia,SP,2017-07-06 03:15:36,boleto
1,0573b5e23cbd798006520e1d5b4c6714,SP,lucelia,delivered,artes,36.85,lucelia,SP,2017-07-06 03:15:36,boleto
2,0573b5e23cbd798006520e1d5b4c6714,SP,lucelia,delivered,artes,36.85,lucelia,SP,2017-07-06 03:15:36,boleto
3,0573b5e23cbd798006520e1d5b4c6714,SP,lucelia,delivered,artes,36.85,lucelia,SP,2017-07-06 03:15:36,boleto
4,0573b5e23cbd798006520e1d5b4c6714,SP,lucelia,delivered,artes,36.85,lucelia,SP,2017-07-06 03:15:36,boleto
5,0573b5e23cbd798006520e1d5b4c6714,SP,lucelia,delivered,artes,36.85,lucelia,SP,2017-07-06 03:15:36,boleto
6,0573b5e23cbd798006520e1d5b4c6714,SP,lucelia,delivered,artes,36.85,lucelia,SP,2017-07-06 03:15:36,boleto
7,0573b5e23cbd798006520e1d5b4c6714,SP,lucelia,delivered,artes,36.85,lucelia,SP,2017-07-06 03:15:36,boleto
8,0573b5e23cbd798006520e1d5b4c6714,SP,lucelia,delivered,artes,36.85,lucelia,SP,2017-07-06 03:15:36,boleto
9,0573b5e23cbd798006520e1d5b4c6714,SP,lucelia,delivered,artes,36.85,lucelia,SP,2017-07-06 03:15:36,boleto
